location,latitude,longitude,buffer_m,visibility,true_coordinates,comments,internal_wildtrax_id
1-1,,,5500,Visible,t,,510866
1-2,,,5500,Visible,t,,510858
1-3,,,5500,Visible,t,,510859
1-4,,,5500,Visible,t,,510860
1-5,,,5500,Visible,t,,510861
1-6,,,5500,Visible,t,,510862
1-7,,,5500,Visible,t,,510863
1-8,,,5500,Visible,t,,510864
1-9,,,5500,Visible,t,,510865
2-1,,,5500,Visible,t,,510867
2-2,,,5500,Visible,t,,510868
2-3,,,5500,Visible,t,,510869
2-4,,,5500,Visible,t,,510870
2-5,,,5500,Visible,t,,510871
2-6,,,5500,Visible,t,,510872
2-7,,,5500,Visible,t,,510873
2-8,,,5500,Visible,t,,510874
2-9,,,5500,Visible,t,,510875
3-1,,,5500,Visible,t,,510876
3-2,,,5500,Visible,t,,510877
3-3,,,5500,Visible,t,,510878
3-4,,,5500,Visible,t,,510879
3-5,,,5500,Visible,t,,510880
3-6,,,5500,Visible,t,,510881
3-7,,,5500,Visible,t,,510882
3-8,,,5500,Visible,t,,510883
4-1,,,5500,Visible,t,,515531
4-2,,,5500,Visible,t,,515532
4-3,,,5500,Visible,t,,515529
4-4,,,5500,Visible,t,,515530
4-5,,,5500,Visible,t,,515533
4-6,,,5500,Visible,t,,515534
4-7,,,5500,Visible,t,,515535
4-8,,,5500,Visible,t,,515538
4-9,,,5500,Visible,t,,515536
5-1,,,5500,Visible,t,,515537
5-2,,,5500,Visible,t,,515539
5-3,,,5500,Visible,t,,515540
5-4,,,5500,Visible,t,,515541
5-5,,,5500,Visible,t,,515542
5-6,,,5500,Visible,t,,515543
5-7,,,5500,Visible,t,,515544
5-8,,,5500,Visible,t,,515545
5-9,,,5500,Visible,t,,515546
6-1,,,5500,Visible,t,,515547
6-2,,,5500,Visible,t,,515548
6-3,,,5500,Visible,t,,515549
6-4,,,5500,Visible,t,,515550
6-5,,,5500,Visible,t,,515551
6-6,,,5500,Visible,t,,515552
6-7,,,5500,Visible,t,,515553
6-8,,,5500,Visible,t,,515554
6-9,,,5500,Visible,t,,515555
7-1,,,5500,Visible,t,,524695
7-2,,,5500,Visible,t,,524697
7-3,,,5500,Visible,t,,524696
7-4,,,5500,Visible,t,,524698
7-5,,,5500,Visible,t,,524699
7-6,,,5500,Visible,t,,526326
7-7,,,5500,Visible,t,,524700
7-8,,,5500,Visible,t,,524701
7-9,,,5500,Visible,t,,524702
8-1,,,5500,Visible,t,,524703
8-2,,,5500,Visible,t,,524704
8-3,,,5500,Visible,t,,524705
8-5,,,5500,Visible,t,,524706
8-6,,,5500,Visible,t,,524707
8-7,,,5500,Visible,t,,524708
8-8,,,5500,Visible,t,,524710
8-9,,,5500,Visible,t,,524709
Z1A,,,20000,Hidden - Location,f,,66376
Z1B,,,20000,Hidden - Location,f,,66375
Z2A,,,20000,Hidden - Location,f,,66374
Z2B,,,20000,Hidden - Location,f,,66373
Z4A,,,20000,Hidden - Location,f,,66372
Z4B,,,20000,Hidden - Location,f,,66371
13-1,,,5500,Visible,t,,510884
13-2,,,5500,Visible,t,,510885
13-3,,,5500,Visible,t,,510886
13-4,,,5500,Visible,t,,510887
13-5,,,5500,Visible,t,,510888
13-6,,,5500,Visible,t,,510889
13-7,,,5500,Visible,t,,510890
13-8,,,5500,Visible,t,,510891
13-9,,,5500,Visible,t,,510892
14-1,,,5500,Visible,t,,510893
14-2,,,5500,Visible,t,,510894
14-3,,,5500,Visible,t,,510895
14-4,,,5500,Visible,t,,510896
14-5,,,5500,Visible,t,,510897
14-6,,,5500,Visible,t,,510898
14-7,,,5500,Visible,t,,510899
14-8,,,5500,Visible,t,,510900
14-9,,,5500,Visible,t,,510901
15-1,,,5500,Visible,t,,510902
15-2,,,5500,Visible,t,,510903
15-3,,,5500,Visible,t,,510904
15-4,,,5500,Visible,t,,510905
15-5,,,5500,Visible,t,,510906
15-6,,,5500,Visible,t,,510907
15-7,,,5500,Visible,t,,510908
15-8,,,5500,Visible,t,,510909
15-9,,,5500,Visible,t,,510910
16-3,,,5500,Visible,t,,515556
16-4,,,5500,Visible,t,,515557
16-5,,,5500,Visible,t,,515558
16-8,,,5500,Visible,t,,515559
16-9,,,5500,Visible,t,,515560
17-1,,,5500,Visible,t,,515561
17-2,,,5500,Visible,t,,515562
17-3,,,5500,Visible,t,,515563
17-4,,,5500,Visible,t,,515564
17-5,,,5500,Visible,t,,515565
17-6,,,5500,Visible,t,,515566
