organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,114555-2-5,333678,,56.745703,-121.949107,,,Visible,
CWS-PAC,114555-2-7,333679,,56.743172,-121.954292,,,Visible,
CWS-PAC,114555-4-1,333680,,56.735735,-121.960812,,,Visible,
CWS-PAC,114555-4-5,333681,,56.732897,-121.956190,,,Visible,
CWS-PAC,123389-1-5,333682,,57.035939,-122.338834,,,Visible,
CWS-PAC,123389-1-9,333683,,57.033115,-122.334147,,,Visible,
CWS-PAC,123389-3-5,333684,,57.040879,-122.314247,,,Visible,
CWS-PAC,123389-3-7,333685,,57.038333,-122.319448,,,Visible,
CWS-PAC,130325-3-5,333686,,57.253392,-122.673834,,,Visible,
CWS-PAC,130325-3-9,333687,,57.250574,-122.669233,,,Visible,
CWS-PAC,130325-4-3,333688,,57.257896,-122.683435,,,Visible,
CWS-PAC,130325-4-5,333689,,57.255335,-122.688640,,,Visible,
CWS-PAC,137942-2-1,333690,,57.539540,-122.879671,,,Visible,
CWS-PAC,137942-2-5,333691,,57.536733,-122.874882,,,Visible,
CWS-PAC,137942-3-5,333692,,57.530247,-122.839335,,,Visible,
CWS-PAC,137942-3-7,333693,,57.527679,-122.844568,,,Visible,
CWS-PAC,205176-3-5,333694,,59.596009,-126.574830,,,Visible,
CWS-PAC,205176-3-7,333695,,59.593289,-126.580088,,,Visible,
CWS-PAC,205176-4-5,333696,,59.603151,-126.599340,,,Visible,
CWS-PAC,205176-4-7,333697,,59.600430,-126.604598,,,Visible,
CWS-PAC,207746-1-5,333698,,59.659543,-126.971892,,,Visible,
CWS-PAC,207746-1-9,333699,,59.656882,-126.966508,,,Visible,
CWS-PAC,207746-3-5,333700,,59.650783,-126.931378,,,Visible,
CWS-PAC,207746-3-7,333701,,59.648050,-126.936618,,,Visible,
CWS-PAC,226515-1-5,333702,,59.923862,-131.319426,,,Visible,
CWS-PAC,226515-1-9,333703,,59.921373,-131.313689,,,Visible,
CWS-PAC,226515-4-1,333704,,59.904189,-131.326589,,,Visible,
CWS-PAC,226515-4-5,333705,,59.901700,-131.320855,,,Visible,
