organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,is_complete,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,task_comments
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,1,2880470,1,Song,4.68,0.90,-47.34,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,2880496,1,Song,57.60,1.14,-50.24,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,CANG,Canada Goose,BRANTA CANADENSIS,1,2880526,1,Call,292.96,0.45,-53.72,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,OCWA,Orange-crowned Warbler,LEIOTHLYPIS CELATA,1,2880500,1,Song,64.95,1.48,-54.92,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,2880486,2,Song,18.99,1.58,-55.31,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,4,2880514,1,Song,163.94,3.79,-51.16,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,3,2880488,1,Song,31.45,2.59,-51.34,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,2,2880484,1,Call,19.21,0.90,-33.07,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,1,2880474,1,Song,5.51,3.21,-49.29,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,MOWA,Mourning Warbler,GEOTHLYPIS PHILADELPHIA,1,2880522,1,Song,277.63,1.34,-46.51,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,4,2880524,1,Song,285.85,0.60,-37.56,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,3,2880523,1,Song,283.05,0.66,-51.38,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,2,2880483,1,Song,17.09,0.83,-50.04,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,1,2880482,1,Song,14.58,0.96,-48.22,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,COYE,Common Yellowthroat,GEOTHLYPIS TRICHAS,1,2880520,1,Song,237.58,1.63,-53.12,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,2,2880507,1,Song,126.74,1.54,-55.09,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,REVI,Red-eyed Vireo,VIREO OLIVACEUS,1,2880477,1,Song,5.83,3.38,-45.17,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,REVI,Red-eyed Vireo,VIREO OLIVACEUS,2,2880512,1,Song,140.98,1.93,-48.61,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,UNWO,Unidentified Woodpecker,"",1,2880502,1,Non-vocal,80.63,2.20,-56.7,f,,Dominic Cormier,1388,
CWS-PAC,1311,114555-2-5,333678,,-121.949107,56.745703,,,513858,2022-06-05 05:00:00,476655,t,299.91s,1SPT,WAVI,Warbling Vireo,VIREO GILVUS,1,2880468,1,Song,1.48,2.15,-39.26,f,,Dominic Cormier,1388,
