organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,1.48,299.91,2.15,1.29kHz,6.75kHz,2880468,1,Song,1,,f,1,Dominic Cormier,1388,,f,-42.47,-58.25,2,-0.000178,-0.026184,0.025543,-31.64,-42.54,-62.67,2,0,-0.024231,0.024109,-32.31,-39.17,-57.08,2,-0.000887,-0.034271,0.03064,-29.3,-39.26,-63.21,2,0,-0.031097,0.032928,-29.65,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/186d6893317b4384b83d9b55421787e5.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/9198c0d02c8b4a7abf84b5b49bc81e39.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,Aves,4.68,299.91,0.90,1.96kHz,6.03kHz,2880470,1,Song,1,,f,1,Dominic Cormier,1388,,f,-44,-59.87,2,-0.000452,-0.035919,0.035645,-28.89,-51.23,-66.76,2,0,-0.010406,0.011627,-38.69,-43.06,-57.08,2,-0.00112,-0.033752,0.031952,-29.43,-47.34,-66.74,2,0,-0.014618,0.015137,-36.4,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/bf7d621c563a4bd1b3e95b95f8b7ed34.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/f529dba57f824a7fab827489ef700cf3.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,5.51,299.91,3.21,3.04kHz,5.10kHz,2880474,1,Song,1,,f,1,Dominic Cormier,1388,,f,-48.13,-59.58,2,-0.000504,-0.013306,0.012726,-37.52,-49.29,-68.48,2,0,-0.010681,0.010315,-39.43,-48.83,-56.88,2,-0.001181,-0.013885,0.01062,-37.15,-50.13,-67.94,2,0,-0.010254,0.010193,-39.78,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/edcca7de389e4c049a843d7d136eb2b1.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/ff415e8271224e41b1fdfd283135ebc5.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,REVI,Red-eyed Vireo,VIREO OLIVACEUS,Aves,5.83,299.91,3.38,1.24kHz,4.48kHz,2880477,1,Song,1,,f,1,Dominic Cormier,1388,,f,-32.74,-57.05,2,-0.000513,-0.071503,0.071198,-22.91,-48.58,-62.33,2,0,-0.011444,0.011047,-38.83,-33.29,-56.88,2,-0.001187,-0.072357,0.06781,-22.81,-45.17,-66.69,2,0,-0.018616,0.018768,-34.53,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/e154edb0e42e4316b0b5279090496f72.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/e2495c21fe154e1f892eb07004c76d5a.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,Aves,14.58,299.91,0.96,2.58kHz,5.87kHz,2880482,1,Song,1,,f,1,Dominic Cormier,1388,,f,-36.17,-55.52,2,-0.000626,-0.095428,0.092468,-20.41,-48.22,-61.82,2,0,-0.012177,0.01239,-38.14,-33.79,-54.58,2,-0.001306,-0.144287,0.143921,-16.82,-57.81,-64.96,2,0,-0.004852,0.004791,-46.28,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/f7f2ae91e917400f811b7c559772254c.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/e6352f1e429d4fe4b7714d153ba2bf37.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,ALFL,Alder Flycatcher,EMPIDONAX ALNORUM,Aves,17.09,299.91,0.83,2.47kHz,5.56kHz,2880483,2,Song,1,,f,1,Dominic Cormier,1388,,f,-44.56,-58.25,2,-0.000646,-0.026978,0.027039,-31.36,-50.04,-65.3,2,0,-0.010529,0.01059,-39.5,-40.35,-55.91,2,-0.0013,-0.043091,0.04361,-27.21,-58.71,-66.39,2,0,-0.004028,0.004486,-46.96,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/920a385b915a4649814ff2b484ae92d6.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/3e2024c81aa74ea4936f7fc98fad2fcc.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,18.99,299.91,1.58,1.75kHz,3.97kHz,2880486,1,Song,2,,f,1,Dominic Cormier,1388,,f,-40.38,-58.16,2,-0.000646,-0.034882,0.032471,-29.15,-55.31,-68.05,2,0,-0.006073,0.006195,-44.16,-33.03,-56.08,2,-0.001313,-0.081848,0.076233,-21.74,-59.4,-70.08,2,0,-0.003876,0.003845,-48.23,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/e718aea054444b219a08e7757ccbe181.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/7a949d8d557340a8b980a9c0b055beb0.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,19.21,299.91,0.90,6.23kHz,11.18kHz,2880484,2,Call,1,,f,1,Dominic Cormier,1388,,f,-40.38,-57.45,2,-0.000648,-0.034882,0.032471,-29.15,-40.52,-74.46,2,0,-0.03299,0.03299,-29.63,-33.03,-55.81,2,-0.001315,-0.081848,0.076233,-21.74,-33.07,-73.86,2,0,-0.079834,0.079224,-21.96,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/e57d6ec64619499d8240c85d72109735.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/a7f191fdd6a742ab8d5c82d8709ec8b2.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,31.45,299.91,2.59,2.11kHz,4.27kHz,2880488,3,Song,1,,f,1,Dominic Cormier,1388,,f,-39.36,-57.72,2,-0.000676,-0.038391,0.039368,-28.1,-51.34,-66.26,2,0,-0.00766,0.007904,-42.04,-33.31,-56.19,2,-0.001339,-0.093384,0.090668,-20.59,-58.1,-70.24,2,0,-0.004486,0.004486,-46.96,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/9a01f1f87cc54804bbf7774a3ba0ac71.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/e0f0147494a14e72b6d391c97f7e0589.flac
CWS-PAC,Boreal Monitoring - 2022 CORE ,1311,114555-2-5,333678,2022-06-05 05:00:00,513858,1SPT,476655,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,57.60,299.91,1.14,2.06kHz,5.82kHz,2880496,1,Song,1,,f,1,Dominic Cormier,1388,,f,-48.32,-54.72,2,-0.000738,-0.013397,0.01358,-37.34,-50.24,-58.02,2,0,-0.00824,0.00824,-41.68,-47.49,-56.13,2,-0.001345,-0.016388,0.013367,-35.71,-59.31,-64.76,2,0,-0.003265,0.003235,-49.72,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=476655,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/bd424793bc1c40b18c17c81598c2f443.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/8611d27f-60b3-4f68-a5a3-aa97fb0950fc/da129f24c54b4ac99a584923859fa061.flac
