organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,167428-1-3,333778,,58.618521,-121.891162,,,Visible,
CWS-PAC,167428-1-6,333779,,58.616554,-121.890016,,,Visible,
CWS-PAC,168015-2-4,333780,,58.627449,-121.881324,,,Visible,
CWS-PAC,168015-2-7,333785,,58.625694,-121.880716,,,Visible,
CWS-PAC,168015-4-1,333786,,58.626507,-121.860298,,,Visible,
CWS-PAC,168015-4-5,333787,,58.623718,-121.855312,,,Visible,
CWS-PAC,168599-3-4,333792,,58.650891,-121.898716,,,Visible,
CWS-PAC,168599-3-7,333793,,58.649333,-121.896388,,,Visible,
CWS-PAC,168599-4-6,333794,,58.641844,-121.902157,,,Visible,
CWS-PAC,168599-4-9,333815,,58.640337,-121.902699,,,Visible,
CWS-PAC,169183-1-2,333816,,58.660845,-121.874476,,,Visible,
CWS-PAC,169183-1-7,333818,,58.654338,-121.879299,,,Visible,
CWS-PAC,169183-1-8,333822,,58.653533,-121.875997,,,Visible,
CWS-PAC,169183-4-2,333823,,58.666506,-121.888721,,,Visible,
CWS-PAC,169183-4-7,333827,,58.661031,-121.893558,,,Visible,
CWS-PAC,169765-4-6,333829,,58.669153,-121.902264,,,Visible,
CWS-PAC,169765-4-8,333832,,58.666602,-121.907679,,,Visible,
