organization,version,location,location_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,startTime,confidence,is_species_allowed_in_project
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,PHYLLOSCOPUS SARASINORUM,Lompobattang Leaf Warbler,42.0,0.21222162,f
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,PHYLLOSCOPUS SARASINORUM,Lompobattang Leaf Warbler,3.0,0.22173356,f
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,66.0,0.4186475,f
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,63.0,0.22323641,f
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,IXOREUS NAEVIUS,Varied Thrush,150.0,0.45750138,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,PRINIA HODGSONII,Grey-breasted Prinia,27.0,0.21501881,f
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,PRINIA HODGSONII,Grey-breasted Prinia,132.0,0.29306293,f
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,27.0,0.20889348,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,21.0,0.42171568,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,18.0,0.30669042,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,12.0,0.3611993,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,9.0,0.42655364,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,3.0,0.24776296,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,48.0,0.25518954,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,51.0,0.2812073,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,87.0,0.29410973,t
CWS-PAC,Birdnet-Lite,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,180,VIREO GILVUS,Warbling Vireo,102.0,0.25326106,t
