organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,BMS-63270-3-6,488501,,54.794113,-120.327248,,,Visible,
CWS-PAC,BMS-75179-2-8,488502,,55.214382,-121.406179,,,Visible,
CWS-PAC,BMS-78059-4-5,488503,,55.355596,-120.876202,,,Visible,
CWS-PAC,BMS-73743-3-5,488504,,55.209110,-120.794040,,,Visible,
CWS-PAC,BMS-84821-4-5,488505,,55.614735,-121.516168,,,Visible,
CWS-PAC,BMS-72783-2-1,488506,,55.196050,-120.322145,,,Visible,
CWS-PAC,BMS-71813-2-4N,488507,,55.112370,-121.001697,,,Visible,
CWS-PAC,BMS-75179-4-7N,488508,,55.206676,-121.428649,,,Visible,
CWS-PAC,BMS-72783-4-9N,488509,,55.181266,-120.315796,,,Visible,
CWS-PAC,BMS-74703-1-5,488510,,55.216528,-120.905354,,,Visible,
CWS-PAC,BMS-78059-3-5N,488511,,55.373022,-120.844932,,,Visible,
CWS-PAC,BMS-74703-3-2,488512,,55.223904,-120.887008,,,Visible,
CWS-PAC,BMS-73743-4-9,488513,,55.213527,-120.774382,,,Visible,
CWS-PAC,BMS-71813-4-9N,488514,,55.115025,-121.007188,,,Visible,
CWS-PAC,BMS-73743-2-5,488515,,55.201130,-120.777567,,,Visible,
CWS-PAC,BMS-72295-4-6,488516,,55.138240,-120.940236,,,Visible,
CWS-PAC,BMS-72295-1-9,488517,,55.135967,-120.925846,,,Visible,
CWS-PAC,BMS-71813-1-1,488518,,55.105585,-120.968495,,,Visible,
CWS-PAC,BMS-74703-3-5,488519,,55.226856,-120.888315,,,Visible,
CWS-PAC,BMS-71813-4-8,488520,,55.114725,-121.011167,,,Visible,
CWS-PAC,BMS-70381-2-5,488521,,55.108667,-120.220140,,,Visible,
CWS-PAC,BMS-72295-1-8,488522,,55.135672,-120.930031,,,Visible,
CWS-PAC,BMS-78059-3-2,488523,,55.370267,-120.843643,,,Visible,
CWS-PAC,BMS-71813-3-7,488524,,55.102636,-121.010322,,,Visible,
CWS-PAC,BMS-75179-2-4,488525,,55.211133,-121.409032,,,Visible,
CWS-PAC,BMS-73743-3-4,488526,,55.208817,-120.798231,,,Visible,
CWS-PAC,BMS-84821-2-6,488527,,55.591434,-121.500989,,,Visible,
CWS-PAC,BMS-63270-2-5,488528,,54.782112,-120.365185,,,Visible,
CWS-PAC,BMS-71813-2-5N,488529,,55.112666,-120.997513,,,Visible,
CWS-PAC,BMS-71813-3-5,488530,,55.099981,-121.004832,,,Visible,
CWS-PAC,BMS-71813-1-6,488531,,55.109125,-120.961434,,,Visible,
CWS-PAC,BMS-74703-1-9,488532,,55.219774,-120.902470,,,Visible,
CWS-PAC,BMS-84821-4-4,488533,,55.614428,-121.520394,,,Visible,
CWS-PAC,BMS-84821-1-3,488534,,55.611171,-121.523248,,,Visible,
CWS-PAC,BMS-63270-1-1,488535,,54.791004,-120.376961,,,Visible,
CWS-PAC,BMS-72295-4-9,488536,,55.140985,-120.941013,,,Visible,
CWS-PAC,BMS-71815-4-1,488537,,55.104696,-120.761778,,,Visible,
CWS-PAC,BMS-84821-2-4,488538,,55.590822,-121.509436,,,Visible,
CWS-PAC,BMS-71815-1-3,488539,,55.115127,-120.739931,,,Visible,
CWS-PAC,BMS-63270-1-5,488540,,54.794240,-120.374054,,,Visible,
CWS-PAC,BMS-73743-2-4,488541,,55.200837,-120.781758,,,Visible,
CWS-PAC,BMS-73743-4-6N,488542,,55.210574,-120.773083,,,Visible,
CWS-PAC,BMS-70381-2-9,488543,,55.111908,-120.217216,,,Visible,
