organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,is_complete,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,task_comments
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,1,3881953,1,Song,28.21,1.40,-45.04,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,1,3881950,1,Song,3.33,1.81,-47.71,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,1,3881951,1,Song,7.65,1.20,-50.49,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,3881947,1,Song,1.96,1.53,-39.93,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,WAVI,Warbling Vireo,VIREO GILVUS,2,3881952,1,Song,10.84,1.88,-51.5,f,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,WAVI,Warbling Vireo,VIREO GILVUS,1,3881943,1,Song,0.04,1.68,-38.19,f,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,1,3881948,1,Song,1.76,1.41,-39.84,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,919145,2023-06-03 04:17:00,880390,t,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,3881946,1,Song,0.96,3.13,-39.83,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,3882444,1,Song,0.41,3.03,-38.48,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,1,3882451,1,Song,13.23,1.26,-39.96,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,1,3882445,1,Song,0.09,1.81,-48.98,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,1,3882449,1,Song,11.13,1.41,-45.99,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,2,3882452,1,Song,86.56,1.93,-50.05,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,1,3882446,1,Song,0.09,3.26,-47.79,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,WAVI,Warbling Vireo,VIREO GILVUS,1,3882447,1,Song,4.73,1.54,-38.92,f,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,1,3882450,1,Song,14.08,1.74,-37.71,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970204,2023-06-04 04:16:00,930034,t,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,2,3882448,1,Song,3.81,1.93,-44.25,t,,Jon Van Arragon,1247,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,1,3869672,1,Song,1.90,2.24,-37.66,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,RUGR,Ruffed Grouse,BONASA UMBELLUS,1,3869692,1,Song,86.88,6.84,-45.7,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,1,3869674,1,Song,3.21,2.08,-49.37,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,1,3869673,1,Song,3.55,5.00,-41.39,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,1,3869676,1,Call,64.94,1.81,-53.22,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,3869682,1,Song,1.54,3.18,-37.67,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,2,3869683,1,Song,24.69,2.74,-47.87,t,,Bronwyn Robinson,533,
CWS-PAC,2256,BMS-63270-1-1,488535,,-120.376961,54.791004,,,970109,2023-06-04 05:46:00,929939,t,180s,1SPT,WAVI,Warbling Vireo,VIREO GILVUS,1,3869687,1,Song,150.99,2.10,-48.17,f,,Bronwyn Robinson,533,
