organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,0.04,180.00,1.68,1.03kHz,5.20kHz,3881943,1,Song,1,,f,1,Jon Van Arragon,1247,,f,-37.85,-49.34,2,-0.000031,-0.041504,0.038574,-27.64,-38.19,-53.93,2,0,-0.037323,0.037506,-28.52,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/36b9a20c9ea94a42be67fb72b3500388.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/191a750854a14f89a2e5052b06a97f58.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,Aves,0.96,180.00,3.13,3.55kHz,6.80kHz,3881946,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-37.85,-50.15,2,-0.000044,-0.041504,0.041382,-27.64,-39.83,-57.43,2,0,-0.03949,0.037537,-28.07,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/5de77dd3c0f04ad097ae32c5779f2ecf.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/0b8dd40772b74d1f9993ef0abc41f2b2.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,Aves,1.76,180.00,1.41,1.13kHz,5.61kHz,3881948,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-38.94,-46.35,2,-0.000015,-0.039337,0.041382,-27.66,-39.84,-48.4,2,0,-0.039459,0.035797,-28.08,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/127ba7b4befb4370b7bbbcfbccf5ce24.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/09a1c5bac4bc4ce7bf7796db292aa3f5.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,1.96,180.00,1.53,3.55kHz,7.16kHz,3881947,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-38.44,-47.87,2,-0.000089,-0.039337,0.041382,-27.66,-39.93,-50.91,2,0,-0.039764,0.037689,-28.01,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/f49dac4566f0406d9aa2d960d42842ce.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/544c9d2b533e4c1884e442fb66113a3f.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,Aves,3.33,180.00,1.81,1.65kHz,5.10kHz,3881950,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-43.16,-50.74,2,-0.000061,-0.028778,0.031891,-29.93,-47.71,-59.33,2,0,-0.016174,0.016846,-35.47,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/bb33c9319bc9480c9c55e3df1f626bb2.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/0183e0ec35a84abf9ec335d8b34b1404.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,VATH,Varied Thrush,IXOREUS NAEVIUS,Aves,7.65,180.00,1.20,2.21kHz,4.07kHz,3881951,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-43.56,-49.2,2,-0.000039,-0.021454,0.021027,-33.37,-50.49,-55.17,3,0,-0.010712,0.010406,-39.4,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/9d9ef75e649a47df8b1035d041dc8490.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/1b7f0a4f5ea84abdaf952b05586df921.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,WAVI,Warbling Vireo,VIREO GILVUS,Aves,10.84,180.00,1.88,1.49kHz,5.30kHz,3881952,2,Song,1,,f,1,Jon Van Arragon,1247,,f,-46.73,-51.14,2,-0.000014,-0.015381,0.017303,-35.24,-51.5,-58.89,3,0,-0.010773,0.009674,-39.35,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/4747d2982bc44ac48aa5d9f56826cda4.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/cccfafccd0924291aeee9b1aebe4b165.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-03 04:17:00,919145,1SPT,880390,t,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,Aves,28.21,180.00,1.40,2.37kHz,7.62kHz,3881953,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-44.14,-51.17,3,0.00001,-0.026276,0.026367,-31.58,-45.04,-56.54,2,0,-0.024109,0.022888,-32.36,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=880390,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/57a5f77bd45640f6993f292a81ced94a.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/015eb925-f712-4c8c-8fc5-9b8a3edccf95/8cd5779963ab4fa78d3937e1bec176d9.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-04 04:16:00,970204,1SPT,930034,t,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,0.09,180.00,3.26,2.47kHz,4.27kHz,3882446,1,Song,1,,t,1,Jon Van Arragon,1247,900,f,-40.91,-48.5,2,-0.000009,-0.032806,0.03302,-29.62,-48.78,-60.16,2,0,-0.0112,0.011475,-38.81,-37.92,-47.2,2,-0.000005,-0.042969,0.046295,-26.69,-47.79,-55.96,2,0,-0.018066,0.017426,-34.86,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=930034,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/3a1999ee-9310-46fd-98b9-d7e2e8c2b935/920cd6f6ed874187a097f2dfe258b02a.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/3a1999ee-9310-46fd-98b9-d7e2e8c2b935/0c7b576509054023a9a0a0d3d6eabf8f.flac
CWS-PAC,Boreal Monitoring - 2023 BMS NE,2256,BMS-63270-1-1,488535,2023-06-04 04:16:00,970204,1SPT,930034,t,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,Aves,0.09,180.00,1.81,1.96kHz,3.66kHz,3882445,1,Song,1,,t,1,Jon Van Arragon,1247,15,f,-42.72,-48.5,2,-0.000013,-0.030334,0.0271,-30.36,-48.98,-59.28,2,0,-0.0112,0.011414,-38.85,-37.92,-47.2,2,-0.000009,-0.042969,0.046295,-26.69,-49.48,-55.15,2,0,-0.021484,0.019196,-33.36,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=930034,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/3a1999ee-9310-46fd-98b9-d7e2e8c2b935/992af1eb7a6d487f855504286f9025de.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/3a1999ee-9310-46fd-98b9-d7e2e8c2b935/c1616792ea5546e09a14c6da710dd103.flac
