organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,is_complete,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,task_comments
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,1,3675390,1,Song,162.69,1.68,-46.45,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,RESQ,Red Squirrel,TAMIASCIURUS HUDSONICUS,1,3675356,1,Call,1.49,3.33,-26.29,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,4,3675366,1,Song,29.09,1.60,-61.61,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,3,3675363,1,Song,13.33,1.96,-43.41,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,2,3675362,1,Song,8.95,1.48,-61.61,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,1,3675361,1,Song,6.96,1.90,-45.16,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,WWCR,White-winged Crossbill,LOXIA LEUCOPTERA,1,3675379,1,Call,101.68,0.74,-63.39,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,PISI,Pine Siskin,SPINUS PINUS,1,3675368,1,Call,39.85,0.54,-56.66,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,2,3675364,1,Song,13.23,1.49,-58.17,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,1,3675355,1,Song,0.04,1.14,-42.88,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,4,3675367,1,Song,32.16,1.34,-52.79,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,3,3675365,1,Song,16.65,1.58,-62.94,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,2,3675352,1,Song,0.59,1.78,-29.37,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,1,3675353,1,Song,0.01,0.94,-41.41,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,1,3675357,1,Song,4.10,1.41,-45.23,f,,Dominic Cormier,1388,
CWS-PAC,2188,148644-1-1,487246,,-130.276021,57.159032,Wildlife Acoustics,Song Meter Mini,879645,2023-06-08 07:30:00,852869,t,299.92s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,3675358,1,Song,7.60,1.50,-43.96,f,,Dominic Cormier,1388,
