organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,Aves,0.01,299.92,0.94,2.99kHz,7.26kHz,3675353,1,Song,1,,f,1,Dominic Cormier,1388,,f,-40.94,-53.53,2,-0.001605,-0.040009,0.035187,-27.96,-41.41,-61.81,2,0,-0.034637,0.033661,-29.21,-43.46,-51.19,2,-0.002367,-0.027313,0.021545,-31.27,-44.17,-61.96,2,0,-0.02359,0.023834,-32.46,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/b7e9c6b7207f47e5bd600f245f3124af.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/15afce70340f497aa8d5a55c41f9f832.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,Aves,0.04,299.92,1.14,6.90kHz,8.91kHz,3675355,1,Song,1,,f,1,Dominic Cormier,1388,,f,-35.14,-53.53,2,-0.001598,-0.076843,0.071808,-22.29,-42.88,-71.01,2,0,-0.048553,0.048218,-26.28,-38.7,-51.2,2,-0.002346,-0.047119,0.043121,-26.54,-54.63,-73.36,2,0,-0.00824,0.00827,-41.65,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/fd6c93bc6c474394ba13da6c488ced9d.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/7564592276d5485199e93bb41dc32734.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,Aves,0.59,299.92,1.78,2.63kHz,7.78kHz,3675352,2,Song,1,,f,1,Dominic Cormier,1388,,f,-26.23,-50.93,2,-0.001639,-0.189941,0.23407,-12.61,-29.37,-53.73,2,0.000001,-0.148956,0.140747,-16.54,-31.37,-50.46,2,-0.002281,-0.095123,0.097809,-20.19,-32.66,-55.04,2,0,-0.104401,0.080658,-19.63,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/75047469e724428b9b2445e1f807015a.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/c1dcb80c453744f8b9196e9c8db5a209.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,RESQ,Red Squirrel,TAMIASCIURUS HUDSONICUS,Mammalia,1.49,299.92,3.33,0.05kHz,11.79kHz,3675356,1,Call,1,,f,1,Dominic Cormier,1388,,f,-26.23,-52.29,2,-0.001556,-0.189941,0.23407,-12.61,-26.29,-53.46,2,0.001154,-0.21759,0.189697,-13.25,-31.37,-50.68,2,-0.002335,-0.095123,0.097809,-20.19,-31.43,-52.37,2,0.001733,-0.099182,0.094696,-20.07,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/2eba8718593a4c30ae43fd4ff03c00d9.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/097e5ae31ed14457b0b6b27663cc9bdb.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,Aves,4.10,299.92,1.41,1.85kHz,6.64kHz,3675357,1,Song,1,,f,1,Dominic Cormier,1388,,f,-38.36,-54.4,2,-0.001531,-0.068573,0.059174,-23.28,-45.23,-66.97,2,0,-0.023529,0.024109,-32.36,-41.93,-51.13,2,-0.002451,-0.03949,0.03067,-28.07,-46.75,-67.73,2,0,-0.02124,0.020508,-33.46,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/6de2500f207448b5afe159ac7c950584.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/28a8fba4882042f2ac527450f975a0f6.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,Aves,6.96,299.92,1.90,2.83kHz,6.95kHz,3675361,1,Song,1,,f,1,Dominic Cormier,1388,,f,-43.56,-54.42,2,-0.001448,-0.019196,0.01709,-34.34,-45.16,-67.44,2,0,-0.015625,0.015869,-35.99,-48.38,-52.29,2,-0.002271,-0.013306,0.00705,-37.52,-52.72,-68.09,2,0,-0.008362,0.008057,-41.55,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/86e99c07d57d46ce88ab45738aaa1664.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/bf55061daf3c4f1ba463088d784522ea.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,7.60,299.92,1.50,0.98kHz,5.20kHz,3675358,1,Song,1,,f,1,Dominic Cormier,1388,,f,-43.56,-54.25,2,-0.001425,-0.019196,0.01709,-34.34,-43.96,-64.71,2,0,-0.017029,0.017761,-35.01,-48.38,-52.29,2,-0.002236,-0.013306,0.00705,-37.52,-51.07,-66.67,2,0,-0.008484,0.008881,-41.03,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/739274dcafea4158aa7efe27eeff7532.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/bb7147bf20c94bc691074ddbbb030d4f.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,Aves,8.95,299.92,1.48,3.04kHz,7.00kHz,3675362,2,Song,1,,f,1,Dominic Cormier,1388,,f,-53.06,-54.57,2,-0.001501,-0.007538,0.004181,-42.46,-61.61,-68.27,2,0,-0.00296,0.00293,-50.57,-50.8,-52.28,2,-0.002284,-0.008331,0.003723,-41.59,-64.53,-69.45,2,0,-0.002197,0.002258,-52.92,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/1b6797d7d9fc482b9ad66b4ccb5a684f.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/9e32c6619a2c472eb27b634a2feb1b69.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,Aves,13.23,299.92,1.49,7.11kHz,8.91kHz,3675364,2,Song,1,,f,1,Dominic Cormier,1388,,f,-44.94,-50.23,2,-0.001472,-0.088898,0.085876,-21.02,-58.17,-73.01,2,0,-0.050995,0.050903,-25.85,-42.72,-49.82,2,-0.002327,-0.067566,0.059296,-23.41,-63.01,-73.54,2,0,-0.013763,0.013611,-37.23,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/fd34a7cbc6274280bd651a96b099bb29.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/9023737405154db4897be171585ab754.flac
CWS-PAC,Boreal Monitoring - 2023 CORE,2188,148644-1-1,487246,2023-06-08 07:30:00,879645,1SPT,852869,t,TOWA,Townsend's Warbler,SETOPHAGA TOWNSENDI,Aves,13.33,299.92,1.96,3.09kHz,7.31kHz,3675363,3,Song,1,,f,2,Dominic Cormier,1388,,f,-44.94,-53.02,2,-0.001461,-0.021027,0.020111,-33.54,-45.53,-59.1,2,0,-0.018524,0.019562,-34.17,-42.72,-51.26,2,-0.00231,-0.027466,0.024017,-31.22,-43.41,-59.05,2,0,-0.024567,0.024353,-32.19,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=852869,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/1a4122ff8dd84ae781c65b81a4a8d749.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/548ea1b3-e236-44de-9e62-b128f86f848a/ef2c264cc90f4d7aa96a629cfb36c20f.flac
