organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,is_complete,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,task_comments
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880001,2023-06-03 07:45:00,853229,t,299.92s,1SPT,HETH,Hermit Thrush,CATHARUS GUTTATUS,2,3717096,1,Song,153.39,0.44,-58.33,f,,Dominic Cormier,1388,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880001,2023-06-03 07:45:00,853229,t,299.92s,1SPT,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,1,3717105,1,Song,236.81,1.43,-60.36,f,,Dominic Cormier,1388,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880001,2023-06-03 07:45:00,853229,t,299.92s,1SPT,HETH,Hermit Thrush,CATHARUS GUTTATUS,1,3717075,1,Song,4.04,1.29,-50.17,f,,Dominic Cormier,1388,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880001,2023-06-03 07:45:00,853229,t,299.92s,1SPT,GRYE,Greater Yellowlegs,TRINGA MELANOLEUCA,1,3717113,1,Call,266.91,0.80,-52.53,f,,Dominic Cormier,1388,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880001,2023-06-03 07:45:00,853229,t,299.92s,1SPT,UNWT,Unidentified waterfowl,WATERFOWL SP.,1,3717080,1,Call,31.51,5.45,-42.63,f,,Dominic Cormier,1388,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880004,2023-06-07 05:00:00,853232,t,299.92s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,3801562,1,Song,25.18,2.49,-71.34,f,,Avery Bartels,918,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880004,2023-06-07 05:00:00,853232,t,299.92s,1SPT,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,1,3801564,1,Song,86.45,1.60,-68.01,f,,Avery Bartels,918,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880004,2023-06-07 05:00:00,853232,t,299.92s,1SPT,WWCR,White-winged Crossbill,LOXIA LEUCOPTERA,1,3801567,TMTT,Call,171.62,7.45,-60.25,f,,Avery Bartels,918,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880004,2023-06-07 05:00:00,853232,t,299.92s,1SPT,UNSP,Unidentified Sparrow,"",1,3801566,1,Call,152.04,4.81,-66.97,f,,Avery Bartels,918,
CWS-PAC,2187,167428-1-3,333778,,-121.891162,58.618521,,,880004,2023-06-07 05:00:00,853232,t,299.92s,1SPT,CAJA,Canada Jay,PERISOREUS CANADENSIS,1,3801565,1,Call,109.95,3.25,-68.2,f,,Avery Bartels,918,
