organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-03 07:45:00,880001,1SPT,853229,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,4.04,299.92,1.29,1.65kHz,6.54kHz,3717075,1,Song,1,,f,2,Dominic Cormier,1388,,f,-43.19,-50.7,2,0.000137,-0.026428,0.027313,-31.27,-52.19,-65.68,2,0,-0.018982,0.026764,-31.45,-37.11,-47.26,2,-0.000972,-0.032684,0.038513,-28.29,-50.17,-66.45,2,0,-0.031311,0.021149,-30.09,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853229,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/6c7a9919675a4ec6ac2bf1d25178bfb3.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/d61e23e2caf048fcbb4ce4867eb01d3f.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-03 07:45:00,880001,1SPT,853229,t,UNWT,Unidentified waterfowl,WATERFOWL SP.,Aves,31.51,299.92,5.45,0.05kHz,1.65kHz,3717080,1,Call,1,,f,2,Dominic Cormier,1388,,f,-44.03,-59.19,2,0.000121,-0.016663,0.017853,-34.97,-46.41,-62.32,3,-0.00009,-0.010864,0.012329,-38.18,-40.56,-56.17,2,-0.001103,-0.024902,0.023712,-32.08,-42.63,-59.23,4,0.000818,-0.017303,0.019196,-34.34,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853229,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/52ac33956d374189b60c2ce0c22bce9d.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/cb7b8374911a4139b0f3e2d598728a1e.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-03 07:45:00,880001,1SPT,853229,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,153.39,299.92,0.44,1.80kHz,5.00kHz,3717096,2,Song,1,,f,2,Dominic Cormier,1388,,f,-57.15,-58.64,2,0.000138,-0.012848,0.023163,-32.7,-62.54,-65.25,2,0,-0.008331,0.007172,-41.59,-53.58,-57.01,2,-0.000988,-0.024445,0.020538,-32.24,-58.33,-66.66,2,0,-0.016266,0.014557,-35.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853229,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/0d820c343bfe4819a45ebc0d87d1f25b.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/406ca118433f426d84f72c24851cf9e9.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-03 07:45:00,880001,1SPT,853229,t,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,Aves,236.81,299.92,1.43,1.13kHz,5.25kHz,3717105,1,Song,1,,f,2,Dominic Cormier,1388,,f,-52.62,-59.63,2,0.000102,-0.025482,0.02774,-31.14,-60.36,-66.21,2,0,-0.010254,0.009796,-39.78,-53.92,-57.73,2,-0.001051,-0.027008,0.019836,-31.37,-61.36,-67.55,2,0,-0.009827,0.009369,-40.15,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853229,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/bcbe1125ce654c239a1b0f9d4412b19b.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/af3fda4715954fd0ab066a69c80335d8.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-03 07:45:00,880001,1SPT,853229,t,GRYE,Greater Yellowlegs,TRINGA MELANOLEUCA,Aves,266.91,299.92,0.80,1.80kHz,4.02kHz,3717113,1,Call,1,,f,2,Dominic Cormier,1388,,f,-16.16,-19.93,2,-0.000512,-0.444519,0.446503,-7,-56.04,-66.08,2,0.000002,-0.016327,0.029816,-30.51,-17.22,-20.35,2,-0.000991,-0.394806,0.42157,-7.5,-52.53,-64.55,2,0.000004,-0.013458,0.02594,-31.72,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853229,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/5b7df4188817443abc0c0c7535a034e8.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/9ee1e706-38a7-46d4-8f63-90da8612d8b7/4c7a5f32cf614fe28d12d3acbe9b1758.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-07 05:00:00,880004,1SPT,853232,t,SACR,Sandhill Crane,ANTIGONE CANADENSIS,Aves,4.23,299.92,5.15,0.15kHz,1.55kHz,3801573,1,Song,1,,f,1,Avery Bartels,918,,f,-58.21,-63.9,4,0.000563,-0.002533,0.003876,-48.23,-65.77,-69.83,3,-0.000179,-0.001801,0.001495,-54.89,-60.07,-64.27,3,-0.000512,-0.00354,0.003021,-49.02,-67.93,-71.14,4,0.000163,-0.00116,0.001373,-57.24,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853232,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/ff2b4f521f4f4ca3aedcc751f6d30253.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/6d300b387c3d4c9daa729aafea8c77a7.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-07 05:00:00,880004,1SPT,853232,t,PAWA,Palm Warbler,SETOPHAGA PALMARUM,Aves,7.50,299.92,1.86,3.35kHz,7.78kHz,3801561,1,Song,1,,f,2,Avery Bartels,918,,f,-59.32,-63.9,2,0.000491,-0.002258,0.003662,-48.73,-68.19,-70.68,4,0,-0.001495,0.001526,-56.33,-60.07,-63.77,3,-0.000554,-0.00354,0.003021,-49.02,-63.93,-71.86,2,0,-0.00235,0.002228,-52.58,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853232,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/dc3d1f02e6824f3ab2e0c74b688ed1d0.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/2f6bec04710548cc8e3adf6a72f5c271.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-07 05:00:00,880004,1SPT,853232,t,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,Aves,25.18,299.92,2.49,4.22kHz,6.70kHz,3801562,1,Song,1,,f,2,Avery Bartels,918,,f,-59.76,-63.52,2,0.000511,-0.002411,0.002991,-50.48,-71.79,-73.24,4,0,-0.000946,0.001007,-59.94,-60.69,-63.54,2,-0.000599,-0.003082,0.001801,-50.22,-71.34,-74.83,2,0,-0.001251,0.00119,-58.05,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853232,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/d21ec10fce4a4dbeba6ef553892ad3dd.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/b5a8a9c2658347c2b441e71d3c47f970.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-07 05:00:00,880004,1SPT,853232,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,51.28,299.92,1.09,1.18kHz,3.76kHz,3801575,1,Song,1,,f,2,Avery Bartels,918,,f,-59.08,-63.44,2,0.000534,-0.002289,0.003357,-49.48,-70.32,-71.69,3,0,-0.001038,0.001099,-59.18,-61.14,-62.84,2,-0.000613,-0.002777,0.00177,-51.13,-71.63,-73.84,2,0,-0.000854,0.000916,-60.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853232,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/c783e609a0cd4d42aa854fd9e8861afc.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/0080582ef31e47f9b79ed247ffed3587.flac
CWS-PAC,Boreal Monitoring - 2023 FNFN,2187,167428-1-3,333778,2023-06-07 05:00:00,880004,1SPT,853232,t,LISP,Lincoln's Sparrow,MELOSPIZA LINCOLNII,Aves,86.45,299.92,1.60,1.39kHz,4.94kHz,3801564,1,Song,1,,f,2,Avery Bartels,918,,f,-60.79,-63.33,2,0.000486,-0.002289,0.003174,-49.97,-68.88,-70.12,3,0,-0.001465,0.001434,-56.68,-61,-63.41,2,-0.000488,-0.003265,0.002838,-49.72,-68.01,-71.8,2,0,-0.001465,0.001526,-56.33,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=853232,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/acc9679e91e146f7a0373076d7dfbfbc.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/19256c6a-1814-4238-a978-aef8f99ae7fd/a73d0f6bdaa24f2494d61ed562c597f0.flac
