organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,94557-3-5,524402,,55.917724,-122.653795,,,Visible,
CWS-PAC,94557-3-3,524404,,55.920163,-122.649260,,,Visible,
CWS-PAC,94557-1-5,524405,,55.905401,-122.666922,,,Visible,
CWS-PAC,94557-1-1,524406,,55.907868,-122.670731,,,Visible,
CWS-PAC,89660-2-5,524421,,55.621690,-124.032358,,,Visible,
CWS-PAC,89660-2-1,524422,,55.624245,-124.038310,,,Visible,
CWS-PAC,89183-3-9,524423,,55.769432,-121.602789,,,Visible,
CWS-PAC,89183-3-5,524424,,55.767835,-121.608797,,,Visible,
CWS-PAC,89183-2-3,524425,,55.770924,-121.578846,,,Visible,
CWS-PAC,89183-2-5,524426,,55.768482,-121.583822,,,Visible,
CWS-PAC,89182-4-7,524427,,55.756224,-121.730877,,,Visible,
CWS-PAC,89182-4-5,524428,,55.760890,-121.729435,,,Visible,
CWS-PAC,89182-2-7,524429,,55.766801,-121.740866,,,Visible,
CWS-PAC,89182-2-5,524430,,55.769029,-121.734805,,,Visible,
CWS-PAC,84331-4-9,524431,,55.547083,-121.813195,,,Visible,
CWS-PAC,84331-3-5,524432,,55.563182,-121.807106,,,Visible,
CWS-PAC,84331-4-5,524433,,55.544074,-121.814018,,,Visible,
CWS-PAC,84331-3-3,524435,,55.565503,-121.801331,,,Visible,
CWS-PAC,199596-2-5,524447,,59.783568,-122.456253,,,Visible,
CWS-PAC,199596-2-1,524448,,59.786454,-122.461947,,,Visible,
CWS-PAC,199596-1-3,524449,,59.811843,-122.441481,,,Visible,
CWS-PAC,199596-1-5,524450,,59.809364,-122.446968,,,Visible,
CWS-PAC,184021-4-1,524451,,59.107921,-122.870434,,,Visible,
CWS-PAC,184021-4-5,524452,,59.105135,-122.865391,,,Visible,
CWS-PAC,184021-1-5,524453,,59.096490,-122.862087,,,Visible,
CWS-PAC,184021-1-3,524454,,59.099051,-122.856572,,,Visible,
CWS-PAC,182355-3-1,524455,,59.116455,-121.782093,,,Visible,
CWS-PAC,182355-2-9,524456,,59.132970,-121.765420,,,Visible,
CWS-PAC,182355-2-5,524457,,59.135931,-121.770252,,,Visible,
CWS-PAC,182355-3-5,524458,,59.113553,-121.776996,,,Visible,
CWS-PAC,178946-3-7,524459,,59.042750,-120.904101,,,Visible,
CWS-PAC,178946-1-5,524460,,59.048482,-120.886117,,,Visible,
CWS-PAC,178946-3-5,524461,,59.046381,-120.905455,,,Visible,
CWS-PAC,175519-3-5,524463,,58.929415,-121.350262,,,Visible,
CWS-PAC,175519-1-3,524465,,58.935400,-121.314804,,,Visible,
CWS-PAC,174935-3-5,524467,,58.797075,-122.903264,,,Visible,
CWS-PAC,174935-3-1,524468,,58.799802,-122.908271,,,Visible,
CWS-PAC,174935-2-5,524469,,58.802246,-122.923638,,,Visible,
CWS-PAC,174935-2-3,524470,,58.804757,-122.918429,,,Visible,
CWS-PAC,170931-4-5,524472,,58.755087,-121.325529,,,Visible,
CWS-PAC,168604-3-5,524475,,58.690447,-121.292792,,,Visible,
CWS-PAC,168604-3-1,524476,,58.693506,-121.296718,,,Visible,
CWS-PAC,168604-2-5,524477,,58.696259,-121.280773,,,Visible,
CWS-PAC,163311-4-5,524479,,58.456251,-122.093526,,,Visible,
CWS-PAC,163311-4-1,524480,,58.459221,-122.098038,,,Visible,
CWS-PAC,163311-3-7,524481,,58.439135,-122.086122,,,Visible,
CWS-PAC,163311-3-5,524482,,58.441315,-122.081418,,,Visible,
CWS-PAC,126586-4-5,524483,,57.248818,-120.775172,,,Visible,
CWS-PAC,126586-2-7,524484,,57.255474,-120.778799,,,Visible,
CWS-PAC,126586-2-5,524485,,57.257987,-120.773450,,,Visible,
CWS-PAC,125487-4-7,524486,,56.898895,-125.015558,,,Visible,
CWS-PAC,126586-4-1,524487,,57.251768,-120.779949,,,Visible,
CWS-PAC,125487-4-5,524488,,56.901715,-125.010864,,,Visible,
CWS-PAC,125487-3-9,524489,,56.914907,-125.017942,,,Visible,
CWS-PAC,125487-3-5,524490,,56.917601,-125.022569,,,Visible,
CWS-PAC,120272-4-5,524491,,57.018097,-120.555018,,,Visible,
CWS-PAC,120272-4-3,524492,,57.020703,-120.549666,,,Visible,
CWS-PAC,120272-2-9,524493,,57.034000,-120.545531,,,Visible,
CWS-PAC,120272-2-5,524494,,57.036786,-120.550170,,,Visible,
CWS-PAC,119746-4-7,524495,,56.956959,-121.511967,,,Visible,
CWS-PAC,119746-4-5,524496,,56.959584,-121.506650,,,Visible,
CWS-PAC,119746-3-5,524497,,56.957812,-121.487781,,,Visible,
CWS-PAC,119746-3-1,524498,,56.960639,-121.492732,,,Visible,
CWS-PAC,104676-3-5,524500,,56.152505,-124.534267,,,Visible,
CWS-PAC,104676-1-5,524501,,56.149341,-124.545731,,,Visible,
CWS-PAC,104676-1-1,524502,,56.147811,-124.550747,,,Visible,
CWS-PAC,102623-2-5,524503,,56.100823,-124.400475,,,Visible,
CWS-PAC,102623-2-1,524504,,56.103531,-124.404976,,,Visible,
CWS-PAC,102623-1-5,524505,,56.097715,-124.383675,,,Visible,
CWS-PAC,102623-1-1,524506,,56.100589,-124.388401,,,Visible,
CWS-PAC,102621-3-5,524507,,56.053339,-124.619370,,,Visible,
CWS-PAC,102621-3-3,524508,,56.050155,-124.616689,,,Visible,
CWS-PAC,102621-2-5,524509,,56.064342,-124.642171,,,Visible,
CWS-PAC,102621-2-1,524510,,56.064477,-124.647932,,,Visible,
