organization,version,location,location_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,startTime,confidence,is_species_allowed_in_project
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS SIBILATRIX,Wood Warbler,27.0,0.4249867,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PYRRHOMYIAS CINNAMOMEUS,Cinnamon Flycatcher,147.0,0.21648175,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS YUNNANENSIS,Chinese Leaf Warbler,3.0,0.22991936,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,297.0,0.23853543,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,255.0,0.32485032,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,213.0,0.21493071,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,189.0,0.20729803,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,174.0,0.26522622,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,159.0,0.24460873,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,117.0,0.24928541,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,96.0,0.22740768,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,30.0,0.28971452,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,24.0,0.27022964,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS EMEIENSIS,Emei Leaf Warbler,0.0,0.2579614,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,MYCEROBAS AFFINIS,Collared Grosbeak,81.0,0.20232463,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,LEPTASTHENURA SETARIA,Araucaria Tit-Spinetail,96.0,0.3116396,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,ICTHYOPHAGA LEUCOGASTER,White-bellied Sea Eagle,60.0,0.2997355,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,HEMIPUS PICATUS,Bar-winged Flycatcher-shrike,294.0,0.20258039,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,CAMPETHERA NUBICA,Nubian Woodpecker,153.0,0.21484633,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,BUTEO AUGUR,Augur Buzzard,45.0,0.3278177,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,ACANTHORHYNCHUS TENUIROSTRIS,Eastern Spinebill,6.0,0.22483027,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,ACANTHORHYNCHUS TENUIROSTRIS,Eastern Spinebill,3.0,0.34203532,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,TROGLODYTES TROGLODYTES,Eurasian Wren,264.0,0.2726966,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS BONELLI,Western Bonelli's Warbler,129.0,0.27096555,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS BONELLI,Western Bonelli's Warbler,111.0,0.21139862,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,PHYLLOSCOPUS BONELLI,Western Bonelli's Warbler,15.0,0.24478146,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,TROGLODYTES PACIFICUS,Pacific Wren,264.0,0.50376594,t
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,SETOPHAGA PALMARUM,Palm Warbler,261.0,0.23492719,t
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,SETOPHAGA PALMARUM,Palm Warbler,249.0,0.27711406,t
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,SETOPHAGA PALMARUM,Palm Warbler,234.0,0.21707289,t
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,SETOPHAGA PALMARUM,Palm Warbler,219.0,0.2235044,t
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,SETOPHAGA PALMARUM,Palm Warbler,24.0,0.22190075,t
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,OREOTHLYPIS CRISSALIS,Colima Warbler,255.0,0.39424157,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,OREOTHLYPIS CRISSALIS,Colima Warbler,213.0,0.27606463,f
CWS-PAC,Birdnet-Lite,168015-2-4,333780,2024-06-06 04:15:00,2412761,300,OREOTHLYPIS CRISSALIS,Colima Warbler,186.0,0.2344473,f
