organization,version,location,location_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,startTime,confidence,is_species_allowed_in_project
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,SETOPHAGA CITRINA,Hooded Warbler,18.0,0.21481988,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PHYLLOSCOPUS FUSCATUS,Dusky Warbler,66.0,0.24851613,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,BASILEUTERUS CULICIVORUS,Golden-crowned Warbler,255.0,0.21697888,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PIPILO CHLORURUS,Green-tailed Towhee,132.0,0.24104963,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PIPILO CHLORURUS,Green-tailed Towhee,162.0,0.2852597,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PIPILO CHLORURUS,Green-tailed Towhee,243.0,0.21358123,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,ICTERUS CUCULLATUS,Hooded Oriole,192.0,0.22078165,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,RAMPHOCAENUS MELANURUS,Long-billed Gnatwren,246.0,0.20638525,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,CATHARUS AURANTIIROSTRIS,Orange-billed Nightingale-Thrush,279.0,0.23092648,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,MYIOBORUS PICTUS,Painted Redstart,18.0,0.3082224,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,MYIOBORUS PICTUS,Painted Redstart,63.0,0.2729659,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,MYIOBORUS PICTUS,Painted Redstart,222.0,0.5317337,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PHYLLOSCOPUS PROREGULUS,Pallas's Leaf Warbler,99.0,0.22028603,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,EMBERIZA SCHOENICLUS,Reed Bunting,48.0,0.23708613,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,EMBERIZA SCHOENICLUS,Reed Bunting,117.0,0.35840347,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,EMBERIZA SCHOENICLUS,Reed Bunting,162.0,0.20113298,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,EMBERIZA SCHOENICLUS,Reed Bunting,174.0,0.22812021,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,EMBERIZA SCHOENICLUS,Reed Bunting,243.0,0.29502198,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,TARSIGER CYANURUS,Red-flanked Bluetail,18.0,0.5099981,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,TARSIGER CYANURUS,Red-flanked Bluetail,222.0,0.4759159,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,LUSCINIA CYANE,Siberian Blue Robin,9.0,0.23392433,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,SYLVIA ATRICAPILLA,Eurasian Blackcap,144.0,0.20201667,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PIPILO ERYTHROPHTHALMUS,Eastern Towhee,243.0,0.21715128,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PASSERELLA ILIACA,Fox Sparrow,111.0,0.20657778,t
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,LULLULA ARBOREA,Wood Lark,0.0,0.4615422,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,CYANOLOXIA BRISSONII,Ultramarine Grosbeak,201.0,0.39770365,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,CYANOPTILA CUMATILIS,Zappey's Flycatcher,258.0,0.23921385,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,HYLOPHILUS THORACICUS,Lemon-chested Greenlet,0.0,0.27819556,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,HYLOPHILUS THORACICUS,Lemon-chested Greenlet,222.0,0.24806856,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,MYIAGRA RUFICOLLIS,Broad-billed Flycatcher,228.0,0.20964244,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,MYIOTHLYPIS NIGROCRISTATA,Black-crested Warbler,78.0,0.24289016,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PHYLLOSCOPUS SARASINORUM,Lompobattang Leaf Warbler,78.0,0.23999062,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PHYLLOSCOPUS VALENTINI,Bianchi's Warbler,18.0,0.2068571,f
CWS-PAC,Birdnet-Lite,201-017,539360,2024-06-02 05:47:00,2453931,300,PHYLLOSCOPUS VALENTINI,Bianchi's Warbler,222.0,0.23836246,f
