organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,201-062,539351,,59.927487,-134.858836,,,Visible,
CWS-PAC,201-089,539352,,59.922620,-134.863980,,,Visible,
CWS-PAC,201-058,539353,,59.917760,-134.811280,,,Visible,
CWS-PAC,201-046,539354,,59.905360,-134.793380,,,Visible,
CWS-PAC,201-042,539355,,59.926459,-134.825443,,,Visible,
CWS-PAC,201-030,539356,,59.924884,-134.848268,,,Visible,
CWS-PAC,201-029,539357,,59.924710,-134.853740,,,Visible,
CWS-PAC,201-022,539358,,59.918080,-134.815890,,,Visible,
CWS-PAC,201-021,539359,,59.917840,-134.863850,,,Visible,
CWS-PAC,201-017,539360,,59.924050,-134.857380,,,Visible,
CWS-PAC,201-166,539361,,59.916170,-134.811710,,,Visible,
CWS-PAC,201-125,539365,,59.916670,-134.868650,,,Visible,
CWS-PAC,201-118,539366,,59.908340,-134.795200,,,Visible,
