organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,PAWR,Pacific Wren,TROGLODYTES PACIFICUS,Aves,1.05,300.00,4.03,3.14kHz,7.73kHz,5023667,1,Song,1,,f,1,Dominic Cormier,1388,,f,76,8,,2585,100464,102997,74,84,11,,0,99670,102509,78,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/6fef7d1a96e44aaba31f1d77956c33bd.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/e0f5f9dc4c08496b83463d7d6d9803c1.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,Aves,1.45,300.00,2.05,2.06kHz,7.31kHz,5023641,1,Song,1,,f,1,Dominic Cormier,1388,,f,74,92,,2594,22369,28656,86,69,71,,0,20538,20630,71,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/77a7611f32774af8a6910f3577e29764.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/b12927b39a754fccb83f53667fcc9c41.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,FOSP,Fox Sparrow,PASSERELLA ILIACA,Aves,3.89,300.00,3.03,1.08kHz,10.20kHz,5023640,1,Song,1,,f,1,Dominic Cormier,1388,,f,63,0,,2501,151123,160095,91,65,67,,0,153412,156708,10,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/2d9cfbda6fe4408fb1849e3149f00836.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/be94db559ff54bf49b3bb37946739bd4.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,Aves,8.69,300.00,1.55,2.94kHz,9.01kHz,5023642,1,Song,1,,f,1,Dominic Cormier,1388,,f,18,5,,2574,18066,24750,13,26,14,,0,14465,13702,79,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/60a35545d7e1402a850c5715fcfc3583.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/2911ec70363a4107b0ea53bea333e324.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,FOSP,Fox Sparrow,PASSERELLA ILIACA,Aves,21.54,300.00,2.53,1.13kHz,5.82kHz,5023675,2,Song,1,,f,1,Dominic Cormier,1388,,f,6,3,,2488,15411,22461,97,0,9,,0,9094,8636,82,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/40e837a419334ef99e7b68796b3407ba.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/e67d4be232934393bac9f63b1dac2748.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,Aves,82.11,300.00,1.76,2.63kHz,6.18kHz,5023681,1,Song,1,,f,1,Dominic Cormier,1388,,f,34,35,,2267,81390,90210,89,49,73,,0,82336,80048,69,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/40050d71557547979150d9514e669b66.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/617458f931304caa916b3f7671e82715.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,FOSP,Fox Sparrow,PASSERELLA ILIACA,Aves,100.21,300.00,2.98,1.29kHz,9.32kHz,5023682,3,Song,1,,f,1,Dominic Cormier,1388,,f,95,42,,2189,30090,36896,66,85,34,,0,29633,31006,17,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/951ece95be6b44fcb4117e5c1a3a6218.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/c86615bfe23443499116c76a1a6dce23.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-02 05:47:00,2453931,1SPT,2228831,t,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,166.94,300.00,1.96,1.91kHz,4.64kHz,5023687,1,Song,1,,f,1,Dominic Cormier,1388,,f,62,37,,2382,16418,22034,14,32,3,,0,13062,13245,56,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228831,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/e6393f4b44d74dbe99a6d4ece599d7e4.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/f1e02b03-0fb2-4095-b2bf-86d61789ada5/a6bf2998322b4345bf5fb0ffe9401224.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-04 05:44:00,2453928,1SPT,2228828,t,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,Aves,2.21,300.00,1.63,2.21kHz,7.16kHz,5021248,1,Song,1,,f,1,Dominic Cormier,1388,,f,90,23,,2772,48401,50873,87,90,89,,0,33081,32928,61,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228828,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/2a776a91-a4ef-4fc6-95e3-bf2326d24e3d/3a30ab2bf5bb4e0c8b5a3ced49699f36.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/2a776a91-a4ef-4fc6-95e3-bf2326d24e3d/58d7f02992a7497aa45b33734967249d.flac
CWS-PAC,High Elevation Monitoring - 2024 Paddy Peak,3307,201-017,539360,2024-06-04 05:44:00,2453928,1SPT,2228828,t,WIWA,Wilson's Warbler,CARDELLINA PUSILLA,Aves,2.43,300.00,2.19,3.55kHz,7.93kHz,5021275,1,Song,1,,f,1,Dominic Cormier,1388,,f,1,41,,2764,59479,65063,73,25,61,,0,29755,29877,49,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=2228828,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/2a776a91-a4ef-4fc6-95e3-bf2326d24e3d/f1a60c9147c649b5998f4a3a58de8982.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/2a776a91-a4ef-4fc6-95e3-bf2326d24e3d/ea414cbd248d4666b4bfbe0218aedfdf.flac
